,Company Name,Overview,Rating,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
9571,Polytechnic College,Education & Training | 51-200 Employees | Chennai +35 more,3.8,"Work Satisfaction, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,76,344,3,--,8,--
9572,Sahyadri Farms,Internet | 10k-50k Employees | 13 years old | Nashik +13 more,4.1,"Company Culture, Work Life Balance",Promotions / Appraisal,76,481,7,--,5,--
9573,Shivaami Cloud Services,IT Services & Consulting | 51-200 Employees | 20 years old | Mumbai +4 more,3.9,"Skill Development / Learning, Job Security, Company Culture",,76,415,6,4,7,--
9574,Shreeja Mahila Milk Producer Company,Food Processing | 51-200 Employees | Tirupati +9 more,4.4,"Company Culture, Work Life Balance, Skill Development / Learning",,76,259,5,3,17,--
9575,Dr. Mehta's Hospitals,Healthcare | 201-500 Employees (Global) | 91 years old | Chennai +5 more,4.1,"Skill Development / Learning, Company Culture, Work Satisfaction",,76,431,3,9,10,--
9576,Tci Freight,Logistics | 201-500 Employees | Public | 66 years old | Gurgaon +29 more,4.2,"Skill Development / Learning, Job Security, Company Culture",,76,298,6,--,7,--
9577,Rohilkhand Medical College And Hospital,Healthcare | 201-500 Employees | 18 years old | Bareilly +6 more,4.0,Job Security,"Promotions / Appraisal, Salary & Benefits",76,260,2,2,6,--
9578,Universal Precision Screws,Industrial Machinery | 51-200 Employees | 18 years old | Rohtak +3 more,3.3,,"Company Culture, Job Security, Work Life Balance",76,432,--,--,10,--
9579,STP,Chemicals | 201-500 Employees | 39 years old | New Delhi +20 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",76,463,4,79,13,--
9580,Smiths Detection,Defence & Aerospace | 1k-5k Employees | 74 years old | London +9 more,3.4,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",76,578,7,8,6,--
9581,THDC,Government | 1k-5k Employees | 36 years old | Rishikesh +13 more,4.4,"Work Life Balance, Job Security, Salary & Benefits",,76,297,4,--,6,5
9582,Woosu Automotive India,Auto Components | 17 years old | Thiruvallur +2 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Job Security",76,466,8,--,10,--
9583,Gia India Laboratory,Jewellery | 51-200 Employees | 93 years old | Mumbai +4 more,4.2,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,76,380,5,1,7,--
9584,Sri Sri Ravishankar Vidya Mandir,EdTech | 201-500 Employees | 25 years old | Bangalore/Bengaluru +17 more,3.4,,"Company Culture, Promotions / Appraisal, Work Satisfaction",76,334,6,--,6,--
9585,R K Marbles,Metals & Mining | 1k-5k Employees | 35 years old | Kishangarh +15 more,3.9,,"Promotions / Appraisal, Work Satisfaction, Company Culture",76,378,4,--,4,--
9586,Mangalore Refinery and Petrochemicals,Oil & Gas | 1k-5k Employees | Public | 36 years old | Mangaluru/Mangalore +5 more,4.0,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal,76,512,--,--,12,--
9587,Sathya Agencies,Consumer Electronics & Appliances | 51-200 Employees | 41 years old | Tuticorin +32 more,4.1,"Company Culture, Salary & Benefits, Work Life Balance",,76,270,1,--,7,--
9588,SKM Animal Feeds and Foods,Food Processing | 201-500 Employees | 43 years old | Erode +15 more,3.9,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",76,475,2,--,6,--
9589,Piano Presitel,Auto Components | 501-1k Employees | 46 years old | Thane +2 more,2.9,,"Salary & Benefits, Promotions / Appraisal, Work Life Balance",76,396,4,--,6,--
9590,Maharishi Ayurveda Products,Pharma | 501-1k Employees | 38 years old | New Delhi +12 more,4.3,"Job Security, Work Life Balance, Company Culture",,76,298,1,1,3,--
9591,Sandvik Coromant,Industrial Machinery | 5k-10k Employees (Global) | 82 years old | Sandviken +5 more,4.4,"Company Culture, Work Satisfaction, Skill Development / Learning",Promotions / Appraisal,76,443,3,8,12,5
9592,Edufic Digital,EdTech | 201-500 Employees | Chennai +3 more,4.0,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,76,379,1,2,18,--
9593,ROCKWOOL,Building Material | 51-200 Employees | 37 years old | Hyderabad +5 more,3.5,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",76,409,5,--,16,--
9594,Seshasayee Paper & Boards,Pulp & Paper | 1k-5k Employees | 64 years old | Chennai +5 more,4.1,"Work Life Balance, Work Satisfaction, Job Security","Promotions / Appraisal, Salary & Benefits",76,336,3,1,6,--
9595,Axis Mutual Fund,Financial Services | 501-1k Employees | Public | 15 years old | Mumbai +26 more,4.2,"Skill Development / Learning, Company Culture, Job Security",,76,544,6,6,10,--
9596,Al Ansari Trading Enterprise LLC,Engineering & Construction | 501-1k Employees | 49 years old | Muscat +4 more,3.9,"Skill Development / Learning, Job Security, Work Life Balance",,76,305,1,--,5,--
9597,Rucha Group Of Industries,Industrial Machinery | 1k-5k Employees | Public | 30 years old | Aurangabad +5 more,3.2,,"Work Life Balance, Company Culture, Work Satisfaction",76,575,4,--,9,--
9598,Derewala Jewellery Industries,Jewellery | 201-500 Employees | 37 years old | Jaipur,3.6,,"Company Culture, Work Life Balance, Work Satisfaction",76,463,6,--,5,--
9599,Agrawal Metal Works,Metals & Mining | 501-1k Employees | 68 years old | New Delhi +6 more,3.9,"Job Security, Work Life Balance",,76,458,7,--,6,--
9600,Alexis Global,Logistics | 501-1k Employees (Global) | 11 years old | New Delhi +20 more,3.4,,"Promotions / Appraisal, Job Security, Salary & Benefits",76,395,2,--,3,--
9601,Hyperpure,19 years old | Delhi +18 more,3.3,,"Promotions / Appraisal, Job Security, Work Life Balance",76,368,4,--,3,--
9602,Dynata,Analytics & KPO | 5k-10k Employees | 84 years old | Plano +6 more,3.8,,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",76,687,5,7,6,--
9603,Amazon Distribution ,Logistics | 51-200 Employees | Bangalore / Bengaluru +21 more,4.3,"Work Satisfaction, Skill Development / Learning, Job Security",,76,433,8,--,21,--
9604,Infotree Global Solutions,New Delhi +5 more,4.3,"Work Life Balance, Company Culture, Work Satisfaction",,76,287,4,74,6,--
9605,Oswal Infrastructure,Real Estate | 12 years old | Gandhinagar +7 more,3.6,,"Promotions / Appraisal, Job Security, Company Culture",76,430,13,--,7,--
9606,Rakesh Masala,Food Processing | 201-500 Employees | 28 years old | Noida +19 more,4.4,"Company Culture, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,76,352,5,--,3,--
9607,Gajra Gears,Automobile | 1k-5k Employees | 62 years old | Dewas +11 more,3.9,"Work Life Balance, Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal",76,381,--,--,9,--
9608,Woosu Automotive India,Auto Components | 17 years old | Thiruvallur +2 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Job Security",76,466,8,--,10,--
9609,Swan Solutions & Services,IT Services & Consulting | 201-500 Employees | 35 years old | Mumbai +7 more,4.4,"Skill Development / Learning, Work Life Balance, Company Culture",,76,397,4,11,8,--
9610,SKM Animal Feeds and Foods,Food Processing | 201-500 Employees | 43 years old | Erode +15 more,3.9,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",76,475,2,--,6,--
9611,Sathya Agencies,Consumer Electronics & Appliances | 51-200 Employees | 41 years old | Tuticorin +32 more,4.1,"Company Culture, Salary & Benefits, Work Life Balance",,76,270,1,--,7,--
9612,Mangalore Refinery and Petrochemicals,Oil & Gas | 1k-5k Employees | Public | 36 years old | Mangaluru/Mangalore +5 more,4.0,"Job Security, Work Life Balance, Salary & Benefits",Promotions / Appraisal,76,512,--,--,12,--
9613,Imperial Electric Company,Engineering & Construction | 501-1k Employees | 13 years old | Kolkata +16 more,4.4,Work Life Balance,Promotions / Appraisal,76,404,1,--,3,--
9614,Ssnr Projects.pvt.ltd,Engineering & Construction | 51-200 Employees | 12 years old | Visakhapatnam/Vizag +12 more,3.9,,"Salary & Benefits, Work Life Balance, Job Security",76,318,5,--,8,--
9615,Velammal Medical College Hospital & Research Institute,Healthcare | 51-200 Employees | 11 years old | Madurai +3 more,3.8,,"Salary & Benefits, Promotions / Appraisal, Company Culture",76,313,1,--,5,--
9616,Kajaria Bathware,51-200 Employees | New Delhi +21 more,4.6,"Salary & Benefits, Work Life Balance, Job Security",,76,325,1,--,9,--
9617,Forace Polymers,Chemicals | 51-200 Employees | 44 years old | Haridwar +2 more,3.4,,"Company Culture, Work Satisfaction, Skill Development / Learning",76,489,7,1,6,--
9618,Avadh Utopia,Hospitality | 501-1k Employees (Global) | Public | 11 years old | Surat +5 more,4.3,"Job Security, Company Culture, Skill Development / Learning",,76,315,--,--,9,--
9619,BizGurukul,EdTech | 51-200 Employees | 4 years old | Noida +9 more,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",,76,217,7,28,10,--
9620,Financepeer,Financial Services | 201-500 Employees | Startup | 7 years old | Mumbai +12 more,3.1,,"Job Security, Promotions / Appraisal, Work Satisfaction",76,425,5,2,9,--
9621,Jungleworks,Software Product | 201-500 Employees | 7 years old | Seattle +4 more,3.3,,"Job Security, Work Life Balance, Company Culture",76,441,6,28,9,--
9622,AchieveX Solutions,IT Services & Consulting | 51-200 Employees | Startup | 7 years old | Kolkata,4.6,"Work Life Balance, Skill Development / Learning, Salary & Benefits",,76,135,--,6,--,--
9623,Arrivae,Internet | 201-500 Employees | Startup | 7 years old | Mumbai +13 more,3.6,,"Job Security, Promotions / Appraisal, Work Satisfaction",76,546,7,10,6,--
9624,Lodha & Company,Management Consulting | 51-200 Employees | 83 years old | Kolkata +5 more,3.4,,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",76,503,7,4,3,--
9625,WeRize,501-1k Employees | Startup | 5 years old | Bengaluru/Bangalore +4 more,3.6,,"Work Life Balance, Promotions / Appraisal",76,392,5,7,4,--
9626,Rashi Peripherals,IT Services & Consulting | 1k-5k Employees | 35 years old | Mumbai +21 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",76,428,3,2,10,--
9627,Indiagold,FinTech | 51-200 Employees | Startup | 4 years old | Gurgaon +13 more,4.0,"Salary & Benefits, Work Life Balance, Promotions / Appraisal",,76,348,5,10,8,4
9628,SolarSquare Energy,51-200 Employees | Pune +19 more,3.1,,"Job Security, Promotions / Appraisal, Work Life Balance",76,366,10,43,6,--
9629,Crystal Voxx,Accounting & Auditing | 51-200 Employees | 32 years old | Larenceville +3 more,3.5,,"Job Security, Work Satisfaction, Salary & Benefits",76,397,3,45,11,--
9630,Merlin Group,Real Estate | 51-200 Employees (Global) | 40 years old | Kolkata +6 more,4.3,"Job Security, Work Satisfaction, Skill Development / Learning",,76,469,4,9,6,--
9631,iLink Digital,IT Services & Consulting | 1k-5k Employees | Chennai +4 more,3.3,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",76,1k,7,41,2,--
9632,eBay,Internet | 1k-5k Employees | Forbes Global 2000 | 29 years old | San Jose +11 more,4.3,"Work Life Balance, Skill Development / Learning, Company Culture",,76,662,14,9,11,11
9633,Mittsure Technologies,Education & Training | 201-500 Employees | 5 years old | Jaipur +14 more,3.4,,"Job Security, Work Satisfaction, Promotions / Appraisal",76,251,1,9,4,8
9634,Hitachi Astemo Brake Systems India Jalgaon Plant,Jalgaon +9 more,4.2,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal,76,193,1,--,3,--
9635,Regal Rexnord Corporation,Consumer Electronics & Appliances | 201-500 Employees | Beloit +4 more,3.7,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",76,389,8,2,1,--
9636,SAT n paper,Noida +2 more,4.4,"Skill Development / Learning, Company Culture, Work Satisfaction",,76,60,--,--,1,--
9637,AVYAIT,51-200 Employees | 4 years old | Hyderabad,4.0,"Work Life Balance, Skill Development / Learning",Salary & Benefits,76,122,--,--,27,--
9638,LatentBridge,IT Services & Consulting | 51-200 Employees | 6 years old | London +5 more,4.5,"Company Culture, Work Life Balance, Skill Development / Learning",,76,74,3,35,26,2
9639,Augtech Nextwealth,201-500 Employees | Bhilai Nagar +1 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Job Security",76,271,6,--,6,--
9640,Merlin Group,Real Estate | 51-200 Employees (Global) | 40 years old | Kolkata +6 more,4.3,"Job Security, Work Satisfaction, Skill Development / Learning",,76,469,4,9,6,--
9641,SolarSquare Energy,51-200 Employees | Pune +19 more,3.1,,"Job Security, Promotions / Appraisal, Work Life Balance",76,366,10,43,6,--
9642,Mittsure Technologies,Education & Training | 201-500 Employees | 5 years old | Jaipur +14 more,3.4,,"Job Security, Work Satisfaction, Promotions / Appraisal",76,251,1,9,4,8
9643,Acsion Engineering,51-200 Employees (Global) | Vadodara +10 more,4.2,"Company Culture, Work Life Balance, Work Satisfaction",,76,598,4,296,1,--
9644,Techved Consulting,IT Services & Consulting | 11-50 Employees | 17 years old | Mumbai +6 more,3.1,,"Salary & Benefits, Job Security, Company Culture",76,358,6,24,19,--
9645,Desein,Engineering & Construction | 501-1k Employees | 59 years old | New Delhi +11 more,4.1,"Skill Development / Learning, Job Security, Work Life Balance",,75,344,1,--,6,--
9646,Formel D,Auto Components | 201-500 Employees | 31 years old | Pune +8 more,3.8,,"Job Security, Promotions / Appraisal, Salary & Benefits",75,269,--,--,8,--
9647,Merit Group,IT Services & Consulting | 501-1k Employees | 21 years old | Chennai +3 more,3.8,Company Culture,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75,539,5,8,13,--
9648,Pokarna,Building Material | 201-500 Employees | Public | 23 years old | Hyderabad / Secunderabad +3 more,4.0,"Skill Development / Learning, Job Security, Company Culture",,75,436,3,1,15,--
9649,Cambridge University Press,Printing & Publishing | 51-200 Employees | 490 years old | New Delhi +13 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75,470,3,4,5,--
9650,Hubert Enviro Care Systems,Waste Management | 51-200 Employees | 27 years old | Chennai +15 more,3.1,,"Company Culture, Promotions / Appraisal, Work Satisfaction",75,590,4,20,4,--
9651,Pune Institute of Business Management,Education & Training | 201-500 Employees | 17 years old | Pune +7 more,3.7,,"Promotions / Appraisal, Company Culture, Salary & Benefits",75,454,7,1,9,--
9652,Eidiko Systems Integrators,IT Services & Consulting | 201-500 Employees | 14 years old | Hyderabad / Secunderabad +2 more,3.7,Skill Development / Learning,"Salary & Benefits, Company Culture, Promotions / Appraisal",75,664,10,5,6,--
9653,ICG Medical,Recruitment | 51-200 Employees (Global) | 9 years old | Gurgaon / Gurugram +2 more,2.6,,"Promotions / Appraisal, Job Security, Company Culture",75,444,3,--,9,--
9654,Cambata Aviation,Aviation | 1k-5k Employees | 70 years old | New Delhi +6 more,4.8,"Skill Development / Learning, Company Culture, Work Life Balance",,75,116,--,--,5,--
9655,Click Labs,IT Services & Consulting | 201-500 Employees | 13 years old | Chandigarh +4 more,3.5,,"Job Security, Work Life Balance, Work Satisfaction",75,812,6,23,8,--
9656,NTT DATA FA Insurance Systems,Software Product | 201-500 Employees | 43 years old | Bangalore / Bengaluru +6 more,3.9,,Promotions / Appraisal,75,577,3,--,10,--
9657,Arshiya International,Logistics | 201-500 Employees | Public | 43 years old | Mumbai +10 more,3.9,"Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal, Job Security",75,497,5,--,9,--
9658,Mettl,Internet | 501-1k Employees | 15 years old | Gurgaon / Gurugram +5 more,4.0,"Skill Development / Learning, Work Life Balance, Company Culture",,75,361,2,11,10,7
9659,White Crow Research,Recruitment | 501-1k Employees | 13 years old | Mumbai +2 more,3.2,,"Promotions / Appraisal, Job Security, Work Satisfaction",75,515,2,6,9,--
9660,Avantel,Hardware & Networking | 51-200 Employees | Public | 34 years old | Hyderabad/Secunderabad +4 more,4.2,"Salary & Benefits, Skill Development / Learning, Promotions / Appraisal",,75,500,8,1,8,--
9661,Intelegencia,IT Services & Consulting | 201-500 Employees | 15 years old | Atlanta +3 more,3.5,,"Job Security, Promotions / Appraisal, Skill Development / Learning",75,649,8,9,7,--
9662,Pokarna,Building Material | 201-500 Employees | Public | 23 years old | Hyderabad/Secunderabad +3 more,4.0,"Skill Development / Learning, Job Security, Company Culture",,75,436,3,1,15,--
9663,Cambridge University Press,Printing & Publishing | 51-200 Employees | 490 years old | Cambridge +13 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75,470,3,4,5,--
9664,Apex Auto,Industrial Machinery | 201-500 Employees | Public | 30 years old | Jamshedpur +13 more,4.0,"Work Life Balance, Skill Development / Learning, Job Security",Promotions / Appraisal,75,410,5,--,6,--
9665,Pune Institute of Business Management,Education & Training | 201-500 Employees | 17 years old | Pune +7 more,3.7,,"Promotions / Appraisal, Company Culture, Salary & Benefits",75,454,7,1,9,--
9666,Eidiko Systems Integrators,IT Services & Consulting | 201-500 Employees | 14 years old | Hyderabad/Secunderabad +2 more,3.7,Skill Development / Learning,"Salary & Benefits, Company Culture, Promotions / Appraisal",75,664,10,5,6,--
9667,D2K Technologies India,IT Services & Consulting | 51-200 Employees | 23 years old | Mumbai +4 more,3.4,,"Work Life Balance, Work Satisfaction, Company Culture",75,464,8,9,3,9
9668,CleanMax Solar,Power | 51-200 Employees | 13 years old | Mumbai +12 more,4.5,"Work Life Balance, Company Culture, Job Security",,75,555,11,--,6,--
9669,Sparkline Equipments,Industrial Machinery | 51-200 Employees | 34 years old | Pune +8 more,4.1,"Job Security, Company Culture, Work Satisfaction",,75,514,2,--,11,--
9670,Oberoi Flight Services,Aviation | 501-1k Employees | 90 years old | New Delhi +6 more,3.5,,"Salary & Benefits, Job Security, Promotions / Appraisal",75,266,2,7,14,--
9671,Employees State Insurance Corporation,Insurance | 1-10 Employees | Public | 72 years old | New Delhi +27 more,3.9,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,75,334,2,--,9,--
9672,Ethos HR Management & Projects,Recruitment | 11-50 Employees | 22 years old | Ahmedabad +21 more,3.9,Work Life Balance,"Job Security, Promotions / Appraisal",75,440,4,24,--,--
9673,Phoenix Mecano,Industrial Machinery | 201-500 Employees | 49 years old | Stein am Rhein +7 more,4.0,"Job Security, Work Life Balance, Company Culture",,75,613,1,--,8,--
9674,GMC Nagpur,Education & Training | 77 years old | Nagpur +18 more,3.8,"Skill Development / Learning, Work Satisfaction, Work Life Balance","Promotions / Appraisal, Salary & Benefits",75,407,2,--,5,--
9675,S.H. Kelkar & Co.,Chemicals | 1k-5k Employees | 16 years old | Mumbai +9 more,4.3,"Work Life Balance, Job Security, Company Culture",,75,397,2,--,12,--
9676,Tcg Digital Solutions,IT Services & Consulting | 201-500 Employees | 25 years old | Somerset +3 more,3.6,,"Promotions / Appraisal, Company Culture, Salary & Benefits",75,854,14,6,12,--
9677,Maya Digital Studios,Animation & VFX | 201-500 Employees | 28 years old | Mumbai +5 more,3.3,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75,381,4,--,9,--
9678,Konkan Railway Corporation,Railways | 5k-10k Employees (Global) | Central | 53 years old | Navi Mumbai +15 more,3.8,,"Promotions / Appraisal, Job Security, Company Culture",75,345,1,--,14,--
9679,Woodlands Multispeciality Hospital,Healthcare | 501-1k Employees | 78 years old | Kolkata +3 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",75,271,6,18,5,5
9680,Jain Amar Clothing,Fashion & Textile | 201-500 Employees | 85 years old | Gurgaon +9 more,3.4,,"Salary & Benefits, Job Security, Promotions / Appraisal",75,319,2,1,6,--
9681,Vasu Chemicals,Waste Management | 501-1k Employees | 53 years old | Mumbai +23 more,3.8,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",75,347,7,--,8,--
9682,Magnum Mi Steel,Iron & Steel | 51-200 Employees | 22 years old | Bawal +7 more,3.9,Company Culture,Promotions / Appraisal,75,411,4,--,2,--
9683,YLG Salon & Spa,Beauty & Personal Care | 51-200 Employees | 15 years old | Bangalore +4 more,3.6,,"Promotions / Appraisal, Job Security, Skill Development / Learning",75,365,6,--,10,--
9684,Neotia Getwel Healthcare Centre,Healthcare | 11-50 Employees | 22 years old | Siliguri +4 more,4.0,"Skill Development / Learning, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",75,254,3,--,11,1
9685,Dezire Research,Investment Banking / Venture Capital / Private Equity | 51-200 Employees | 8 years old | Indore +1 more,4.4,"Skill Development / Learning, Company Culture, Work Satisfaction",,75,109,--,--,50,--
9686,PFSweb,Logistics | 201-500 Employees | 25 years old | Texas +2 more,3.4,,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",75,576,2,--,11,--
9687,Sanghi Brothers,Auto Components | 501-1k Employees | 74 years old | Indore +7 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Job Security",75,420,1,33,5,--
9688,Saggezza,IT Services & Consulting | 201-500 Employees | 19 years old | Chicago +7 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75,842,1,23,13,--
9689,CleanMax Solar,Power | 51-200 Employees | 13 years old | Mumbai +12 more,4.5,"Work Life Balance, Company Culture, Job Security",,75,555,11,--,6,--
9690,Amit Metaliks,Iron & Steel | 201-500 Employees | 20 years old | Kolkata +4 more,3.2,,"Promotions / Appraisal, Salary & Benefits, Company Culture",75,359,8,--,8,--
9691,Cades Studec Technologies,IT Services & Consulting | 51-200 Employees | 18 years old | Bengaluru +1 more,3.8,"Work Life Balance, Job Security, Company Culture","Salary & Benefits, Promotions / Appraisal",75,466,5,--,10,--
9692,Allied Jb Friction,51-200 Employees | 13 years old | Neemrana +1 more,4.6,"Job Security, Work Life Balance, Salary & Benefits",,75,347,5,--,10,--
9693,The Residency Group of Hotels,Hospitality | 1-10 Employees | 39 years old | Chennai +4 more,4.3,"Job Security, Skill Development / Learning, Company Culture",,75,410,--,7,8,--
9694,Avantel,Hardware & Networking | 51-200 Employees | Public | 34 years old | Hyderabad/Secunderabad +4 more,4.2,"Salary & Benefits, Skill Development / Learning, Promotions / Appraisal",,75,500,8,1,8,--
9695,Unicommerce Esolutions,Software Product | 201-500 Employees | Startup | 12 years old | Gurgaon +2 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Job Security",75,662,9,48,14,18
9696,United Biscuits,Food Processing | 501-1k Employees | 76 years old | Hayes +21 more,4.6,"Work Life Balance, Company Culture, Job Security",,75,295,2,--,7,--
9697,Aruba Networks,Hardware & Networking | 501-1k Employees | 22 years old | Santa Clara +2 more,4.2,"Job Security, Work Life Balance, Company Culture",,75,899,6,--,10,6
9698,IMImobile,IT Services & Consulting | 501-1k Employees | 24 years old | London +3 more,3.8,"Salary & Benefits, Job Security, Skill Development / Learning",,75,1.1k,2,1,10,--
9699,Apex Auto,Industrial Machinery | 201-500 Employees | Public | 30 years old | Jamshedpur +13 more,4.0,"Work Life Balance, Skill Development / Learning, Job Security",Promotions / Appraisal,75,410,5,--,6,--
9700,Intelegencia,IT Services & Consulting | 201-500 Employees | 15 years old | Atlanta +3 more,3.5,,"Job Security, Promotions / Appraisal, Skill Development / Learning",75,649,8,9,7,--
9701,Wadhokar,Auto Components | 51-200 Employees | 56 years old | Pune +4 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",75,483,4,--,8,--
9702,Woodlands Multispeciality Hospital,Healthcare | 501-1k Employees | 78 years old | Kolkata +3 more,3.7,,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",75,271,6,18,5,5
9703,Surevin Bpo Services,BPO | 501-1k Employees (Global) | Public | 17 years old | Bhopal +11 more,3.4,,"Promotions / Appraisal, Salary & Benefits, Company Culture",75,319,1,3,7,--
9704,Hicool Electronic Industries,Electrical Equipment | 501-1k Employees | 36 years old | Navi Mumbai +5 more,4.0,"Skill Development / Learning, Company Culture",,75,276,7,6,5,1
9705,we-do-IT,Software Product | 201-500 Employees | 29 years old | Melbourne +1 more,4.2,"Company Culture, Work Life Balance, Work Satisfaction",,75,488,2,--,10,--
9706,Fixderma,Beauty & Personal Care | 51-200 Employees | Gurgaon / Gurugram +13 more,3.7,,"Skill Development / Learning, Promotions / Appraisal, Company Culture",75,257,4,4,9,--
9707,Oasis,IT Services & Consulting | 1k-5k Employees | 31 years old | Burlington +27 more,3.7,"Skill Development / Learning, Job Security, Company Culture",,75,402,2,19,6,1
9708,Kommineni Infotech,IT Services & Consulting | 1k-5k Employees (Global) | 26 years old | Hyderabad +22 more,2.9,,"Salary & Benefits, Job Security, Promotions / Appraisal",75,214,1,--,6,--
9709,India Ratings & Research,Financial Services | 51-200 Employees | 29 years old | Mumbai +12 more,3.7,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",75,523,8,--,10,--
9710,Amogha Polymers,Building Material | 51-200 Employees | 8 years old | Coimbatore +19 more,3.3,,"Job Security, Promotions / Appraisal, Salary & Benefits",75,252,1,2,9,--
9711,Elektrobit India,IT Services & Consulting | 501-1k Employees | Public | 36 years old | Erlangen +1 more,4.2,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,75,765,9,--,10,--
9712,Affordplan,FinTech | 201-500 Employees | Startup | 8 years old | Delhi +12 more,2.9,,"Job Security, Company Culture, Promotions / Appraisal",75,510,3,95,9,1
9713,Jeena Sikho Lifecare,Pharma | 1k-5k Employees | Zirakpur +20 more,3.5,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",75,422,2,--,8,--
9714,Tirumalla Oil Refinery,FMCG | 501-1k Employees | 9 years old | Mumbai +19 more,3.4,,"Skill Development / Learning, Promotions / Appraisal, Salary & Benefits",75,407,2,--,6,--
9715,FabCafe,Hospitality | 51-200 Employees | 7 years old | New Delhi +14 more,4.0,"Company Culture, Work Life Balance, Work Satisfaction","Job Security, Promotions / Appraisal",75,457,4,--,8,--
9716,Red Tag,Retail | 11-50 Employees | 18 years old | Al Khobar +13 more,4.0,Skill Development / Learning,"Promotions / Appraisal, Work Satisfaction",75,241,1,--,14,--
9717,Al Muzain,Oil & Gas | 1k-5k Employees | 28 years old | Al Jubail +7 more,4.2,"Company Culture, Work Satisfaction, Skill Development / Learning",,75,208,2,--,13,--
9718,Saya homes,Real Estate | 201-500 Employees | 24 years old | Ghaziabad +4 more,3.7,,"Job Security, Skill Development / Learning, Work Satisfaction",75,384,2,3,6,--
9719,Ford Technology Services India,Automobile | 201-500 Employees | 29 years old | Dearborn +4 more,4.2,"Work Life Balance, Company Culture, Job Security",,75,843,1,--,13,--
9720,D2K Technologies India,IT Services & Consulting | 51-200 Employees | 23 years old | Mumbai +4 more,3.4,,"Work Life Balance, Work Satisfaction, Company Culture",75,464,8,9,3,9
9721,Institute of Liver & Biliary Sciences,Education & Training | 201-500 Employees | 15 years old | New Delhi,4.2,"Work Life Balance, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,75,393,2,1,9,--
9722,ALEC,Engineering & Construction | 10k-50k Employees | 25 years old | Dubai +9 more,4.1,"Company Culture, Skill Development / Learning, Work Life Balance",,75,178,3,--,10,--
9723,Syntel International,Chennai +4 more,3.9,,"Salary & Benefits, Work Satisfaction, Promotions / Appraisal",75,291,1,--,10,--
9724,Blue Consulting,Accounting & Auditing | 51-200 Employees | 19 years old | Noida +4 more,3.9,"Skill Development / Learning, Company Culture",,75,311,5,12,11,--
9725,B.L. Harbert International,Engineering & Construction | 51-200 Employees | 75 years old | Birmingham +9 more,3.5,,"Promotions / Appraisal, Job Security, Company Culture",75,200,4,--,11,--
9726,DP Chocolates,Food Processing | 51-200 Employees | 17 years old | Hyderabad +7 more,4.1,"Company Culture, Skill Development / Learning, Work Satisfaction",,75,366,4,--,5,--
9727,Roseate Hotels & Resorts,Hospitality | 201-500 Employees | 15 years old | New Delhi +3 more,3.9,Job Security,Work Satisfaction,75,385,3,--,9,--
