,Company Name,Overview,Rating,Highly Rated For,Critically Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos
121,SBI Cards & Payment Services,Financial Services | 1k-5k Employees | 26 years old | Gurgaon/Gurugram +340 more,3.8,,"Promotions / Appraisal, Work Satisfaction, Company Culture",3.6k,15.2k,179,144,349,10
122,Hewlett Packard Enterprise,IT Services & Consulting | 10k-50k Employees | Forbes Global 2000 | 9 years old | Houston +90 more,4.3,"Company Culture, Work Life Balance, Job Security",,3.6k,31.3k,151,35,630,8
123,Atos Syntel,IT Services & Consulting | 5k-10k Employees | 44 years old | Troy +23 more,3.6,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",3.6k,35.3k,191,55,548,7
124,Bosch Global Software Technologies,IT Services & Consulting | 10k-50k Employees | 27 years old | Gerlingen +30 more,4.1,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,3.6k,35k,219,14,721,19
125,Nagarro,IT Services & Consulting | 10k-50k Employees | 28 years old | Munich +39 more,4.1,"Company Culture, Work Life Balance, Salary & Benefits",,3.6k,25k,460,67,1.2k,19
126,IQVIA,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 42 years old | Durham +42 more,4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,3.6k,27k,296,51,553,--
127,Cholamandalam Investment & Finance,NBFC | 10k-50k Employees | Fortune India 500 | 46 years old | Chennai +633 more,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",,3.5k,9.8k,114,21,315,15
128,Bosch,Auto Components | 5k-10k Employees | Public | 138 years old | Gerlingen +100 more,4.3,"Company Culture, Work Life Balance, Skill Development / Learning",,3.5k,20k,226,10,631,12
129,SMFG India Credit,NBFC | 10k-50k Employees | 17 years old | Mumbai +483 more,4.1,"Salary & Benefits, Job Security, Skill Development / Learning",,3.5k,10k,101,33,349,12
130,Reliance Communications,Telecom | 201-500 Employees | Public | 22 years old | Navi Mumbai +424 more,4.0,Skill Development / Learning,Promotions / Appraisal,3.5k,12.2k,69,2,376,--
